ID_BCT_O,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO
MC11301,CACALCHEN,SACALUM,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.297085,-99.22857,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11302,PERIFERICO SUR,CARR. PICACHO-AJUSCO,FUENTES DEL PEDREGAL,#N/A,FUENTE,TLALPAN,SUR,19.30508,-99.203851,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11304,HACIENDA DE MOLINO DE FLORES,HACIENDA DE METEPEC,PRADO COAPA 2DA SECCION,#N/A,COAPA,TLALPAN,SUR,19.30005848,-99.13417498,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11305,CALZADA DE GUADALUPE,HACIENDA DE MOLINO DE FLORES,PRADO COAPA 2DA SECCION,#N/A,COAPA,TLALPAN,SUR,19.30162153,-99.13484637,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11306,CALZ MÉXICO-XOCHIMILCO,CASI ESQ. ALHELI,ARENAL DE GUADALUPE,#N/A,COAPA,TLALPAN,SUR,19.28860817,-99.14683249,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11307,TRABAJO,3A. CDA.,BARRIO LA FAMA,#N/A,FUENTE,TLALPAN,SUR,19.290373,-99.177232,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11308,CALLE 11 MÁRTIRES,PERIFERICO SUR,BARRIO LA FAMA,SOBRE AV INSURGENTES ENTRE RIO DE LOS REMEDIOS A  VIADUCTO TLALPAN,FUENTE,TLALPAN,SUR,19.292332,-99.177273,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11309,UNIÓN,ENTRE AYUNTAMIENTO Y 1A. CDA. UNIÓN,BARRIO LA FAMA,#N/A,FUENTE,TLALPAN,SUR,19.290384,-99.178587,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11310,CALZ. INSURGENTES SUR,VIAD. TLALPAN,LA JOYA,SOBRE AV INSURGENTES ENTRE RIO DE LOS REMEDIOS A  VIADUCTO TLALPAN,HUIPULCO-HOSPITALES,TLALPAN,SUR,19.277405,-99.166644,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11311,VIAD. TLALPAN,PRIV. RANCHO LA VIRGEN,LA JOYA,#N/A,HUIPULCO-HOSPITALES,TLALPAN,SUR,19.28105462,-99.16325376,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11312,NIÑO JESÚS,ENTRE TEZOQUIPA Y MICHOACÁN,LA JOYA,#N/A,HUIPULCO-HOSPITALES,TLALPAN,SUR,19.280869,-99.165119,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11313,VIADUCTO TLALPAN,PRIV. RANCHO LA VIRGEN,LA JOYA,#N/A,HUIPULCO-HOSPITALES,TLALPAN,SUR,19.280981,-99.163301,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11314,CAMINO VIEJO A SAN PEDRO,VIAD. TLALPAN,LA JOYA,#N/A,HUIPULCO-HOSPITALES,TLALPAN,SUR,19.279129,-99.164427,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11315,IZTACCIHUATL,IGNACIO ZARAGOZA,BARRIO LA LONJA,#N/A,FUENTE,TLALPAN,SUR,19.291178,-99.180829,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11316,1A. CERRADA DE CORREGIDORA,CORREGIDORA,BARRIO DE CARAMAGÜEY,#N/A,FUENTE,TLALPAN,SUR,19.29113464,-99.18246489,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11317,BLVD. PICACHO-AJUSCO,PASEO LIRIO,LA PRIMAVERA,SOBRE CARRETERA PICACHO-AJUSCO ENTRE PERIFERICO SUR A AV BOSQUES,FUENTE,TLALPAN,SUR,19.26537855,-99.20483976,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11318,EMPRESA EJIDAL,CARR. PICACHO-AJUSCO,CRUZ DEL FAROL,SOBRE CARRETERA PICACHO-AJUSCO ENTRE PERIFERICO SUR A AV BOSQUES,PADIERNA,TLALPAN,SUR,19.267486,-99.204929,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11319,CAMINO REAL A SAN ANDRES,NOCHE BUENA,LA PRIMAVERA,#N/A,FUENTE,TLALPAN,SUR,19.26547913,-99.20264383,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11320,PASEO DE GIRASOL,LIMONES,LA PRIMAVERA,SOBRE CARRETERA PICACHO-AJUSCO ENTRE PERIFERICO SUR A AV BOSQUES,FUENTE,TLALPAN,SUR,19.26478206,-99.2055773,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11321,PASEO NO ME OLVIDES,PASEO VIOLETA,LA PRIMAVERA,SOBRE CARRETERA PICACHO-AJUSCO ENTRE PERIFERICO SUR A AV BOSQUES,FUENTE,TLALPAN,SUR,19.265672,-99.203939,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11322,PASEO DE LAS FLORES,PASEO MARGARITAS,LA PRIMAVERA,#N/A,FUENTE,TLALPAN,SUR,19.26751501,-99.19974885,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11323,PASEO DE LAS FLORES,PASEO TULIPÁN,LA PRIMAVERA,SOBRE CARRETERA PICACHO-AJUSCO ENTRE PERIFERICO SUR A AV BOSQUES,FUENTE,TLALPAN,SUR,19.269246,-99.204755,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11324,PASEO MARGARITAS,PASEO JAZMIN,LA PRIMAVERA,#N/A,FUENTE,TLALPAN,SUR,19.26812324,-99.20290808,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11325,CALZ ACOXPA ,CLUB PACHUCA,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.296922,-99.136165,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11326,VIAD. TLALPAN,EMILIANO ZAPATA,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.29998481,-99.14450257,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11327,CALZ ACOXPA ,CLUB IRAPUATO,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.29732,-99.137195,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11328,2DO. RT. SAN JUAN DE DIOS,1ER. RT. SAN JUAN DE DIOS,VILLA LAZARO CARDENAS,#N/A,COAPA,TLALPAN,SUR,19.2964987,-99.1429,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11329,SAN JUAN DE DIOS,CBLU ATLANTE,VILLA LAZARO CARDENAS,#N/A,COAPA,TLALPAN,SUR,19.29558249,-99.14066527,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11330,CLUB LEON,ENTRE CALZADA ACOXPA Y CALLE SAN JUAN DE DIOS,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.29645343,-99.13674754,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11331,CALZ ACOXPA ,CLUB ATLANTE,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.298237,-99.139625,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11332,CLUB VERACRUZ,SAN JUAN DE DIOS,VILLA LAZARO CARDENAS,#N/A,COAPA,TLALPAN,SUR,19.29550691,-99.13389029,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11333,CALZ. ACOXPA,2DA DE ACOXPA,VILLA LAZARO CARDENAS,SOBRE CALZADA ACOXPA ENTRE CALZADA DE TLALPAN A EJE 3 OTE,COAPA,TLALPAN,SUR,19.29909773,-99.14180484,SENDERO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11334,SAN JUAN BOSCO,SAN BUENAVENTURA,VILLA LAZARO CARDENAS,#N/A,COAPA,TLALPAN,SUR,19.296146,-99.145265,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11336,MIRAMONTES,BENITO JUÁREZ,AMPLIACION TEPEXIMILPA,#N/A,FUENTE,TLALPAN,SUR,19.271188,-99.191869,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11337,VENUSIA,XITLE,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.27332202,-99.22788695,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11338,TEKAX,MAYAHUEL,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.273617,-99.225535,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11339,CHICOASÉN,JAZMÍN,2 DE OCTUBRE,#N/A,PADIERNA,TLALPAN,SUR,19.27542,-99.228949,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11340,XITLE,TULUM,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.272677,-99.226584,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11341,TEKAX,TROYA,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.271404,-99.226706,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11342,CHICOASÉN ,ATENAS,2 DE OCTUBRE,#N/A,PADIERNA,TLALPAN,SUR,19.272979,-99.228929,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11343,MAYAHUEL ,BECAL,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.273205,-99.224653,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
