ID_BCT_O,CALLE,ESQUINA,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
1,BALDERAS,AV JUAREZ,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.435283,-99.147152,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
2,AV JUAREZ,REVILLAGIGEDO,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.435098,-99.14582,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
3,AV JUAREZ,JOSE MARIA MARROQUI Y LUIS MOYA,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434573,-99.143858,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
4,AV JUAREZ,DOLORES,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434374,-99.142704,INCIDENCIA DELICTIVA,SIN BOTON,CON ALTAVOZ,9m,1,0,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
5,AV JUAREZ,LOPEZ,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434242,-99.14188,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
6,AV INDEPENDENCIA,JOSE AZUETA,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.433729,-99.146751,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
7,INDEPENDENCIA,DOLORES,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.433091,-99.142696,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
8,VIADUCTO RIO DE LA PIEDAD,EJE 3 OTE AZUCAR Y EJE 3 SUR,GRANJAS MEXICO,#N/A,TLACOTAL,IZTACALCO,NORTE,19.406772,-99.108526,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
9,SOLEDAD,SANTISIMA,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.432311,-99.12703,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
10,REPUBLICA DE GUATEMALA,LORETO,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.434369,-99.127634,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
11,LAS CRUCES,MESONES,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.427922,-99.129471,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
12,CALLE 3,EJE 1 PTE CALZ VALLEJO,PORVENIR,#N/A,LA RAZA,AZCAPOTZALCO,PONIENTE,19.469535,-99.14477,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
13,PUREPECHA,RIO DE LA LAJA,CHALMA DE GUADALUPE,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.548879,-99.159368,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
14,AV DEL CASTILLO,BAJADA DEL CERRITO,PALMATITLA,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.548495,-99.133984,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
15,AV AHUEHUETES,AHUEHUETES,TLALPEXCO,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.544997,-99.131155,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
16,ENRIQUE TORRES,LUIS YUREN,UH EL RISCO CTM,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.50954,-99.096163,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
17,16 DE SEPTIEMBRE,21 DE MARZO,LOMA DE LA PALMA,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.550923,-99.142026,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
19,AV CUITLAHUAC,EJE 3 NTE CALZ CAMARONES,OBRERO POPULAR,#N/A,CUITLAHUAC,AZCAPOTZALCO,PONIENTE,19.46808,-99.176101,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
20,SICOMORO Y AV CENTRAL,CIRCUITO INTERIOR AV RIO CONSULADO,AMPLIACION DEL GAS,#N/A,CUITLAHUAC,AZCAPOTZALCO,PONIENTE,19.46433,-99.158489,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
21,ABASOLO,LONDRES,DEL CARMEN,#N/A,COYOACAN,COYOACAN,SUR,19.355257,-99.161153,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
22,EJE 2 OTE CALZ DE LA VIGA,AV JORGE ENCISO,HEROES DE CHURUBUSCO,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.359888,-99.122015,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
23,EJE 4 SUR XOLA,EJE 2 PTE GABRIEL MANCERA,DEL VALLE NORTE,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.396417,-99.161649,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
24,VIADUCTO TLALPAN,CALZ ARENAL,FRACC CLUB DE GOLF MEXICO,#N/A,HOSPITALES,TLALPAN,SUR,19.286406,-99.156945,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
25,TRABAJO,LA FAMA,BARRIO LA FAMA,#N/A,FUENTE,TLALPAN,SUR,19.289396,-99.177819,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
26,SANTA URSULA,AV INSURGENTES SUR,TLALPAN,#N/A,FUENTE,TLALPAN,SUR,19.283931,-99.175479,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
27,EJE 8 SUR CALZ ERMITA IZTAPALAPA,TOLTECAS,SANTA ISABEL INDUSTRIAL,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.356168,-99.105786,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
28,RIO NILO,RIO PERITAS,LOMAS DE SAN LORENZO,#N/A,TEZONCO,IZTAPALAPA,ORIENTE,19.325193,-99.065136,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
30,PONIENTE 122,NORTE 21,NUEVA VALLEJO,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.485025,-99.149013,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
31,AV WILFRIDO MASSIEU,17 DE MAYO,SAN BARTOLO ATEPEHUACAN,#N/A,TICOMAN,GUSTAVO A. MADERO,NORTE,19.496873,-99.141772,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
32,LIC JOSE URBANO FONSECA,AV HOSPITAL BENITO JUAREZ,MAXIMINO AVILA CAMACHO,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.480917,-99.137419,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
34,NORTE 1 B,AV PONIENTE 112,MAXIMINO AVILA CAMACHO,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.476176,-99.137636,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
36,ADOLFO LOPEZ MATEOS,CDA 20 NOVIEMBRE,LOMA DE LA PALMA,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.552849,-99.141538,EQUIP. E INST. ESTRATEGICAS,SIN BOTON,CON ALTAVOZ,9m,1,0,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
37,AV ESTADO DE MEXICO,AV LIC ADOLFO LOPEZ MATEOS,LOMAS DE LAS PALMAS,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.549077,-99.14539,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
38,AV 5 DE MAYO,FRAY SERVANDO T DE MIER,VALLE DE MADERO,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.548824,-99.140956,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
39,AV MONTEVIDEO,AV ETEN,LINDAVISTA,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.491938,-99.13841,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
40,ESTADO DE MEXICO,MORELOS,CHALMA DE GUADALUPE,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.551242,-99.149421,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
41,MORELOS,YUCATAN Y SONORA,CHALMA DE GUADALUPE,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.554919,-99.147554,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
42,DEPORTIVO LOS GALEANA (INTERIOR),ISABEL RODRIGUEZ ALDERETE,UH SN JUAN DE ARAGON 7A SEC,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.476693,-99.075953,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
43,AV JALISCO PTE,TLAXCALA,BARRIO SANTA MARTHA,#N/A,MILPA ALTA,MILPA ALTA,ORIENTE,19.192596,-99.027833,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
44,AND BARRANCA SECA,GUERRERO SUR,PUEBLO SAN ANTONIO TECOMITL,#N/A,TECOMITL,MILPA ALTA,ORIENTE,19.214949,-98.991441,INCIDENCIA DELICTIVA,SIN BOTON,CON ALTAVOZ,9m,1,0,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
45,JUAN PABLO MARTINEZ,CALZ TLAHUAC CHALCO,BARRIO LA MAGDALENA,#N/A,MIXQUIC,TLAHUAC,ORIENTE,19.266188,-99.000665,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
46,CANTON,PERSIA,ROMERO RUBIO,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.444163,-99.098437,EDUCACION,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
47,ARTICULO 123,BALDERAS Y REVILLAGIGEDO,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.432782,-99.14669,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
48,LUIS MOYA,ARTICULO 123,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.432563,-99.14514,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
49,PESTALOZZI,PILARES,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.376841,-99.161928,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
50,CUMBRES DE MALTRATA,PRIV LAGO E ISABEL LA CATOLICA,AMERICAS UNIDAS,#N/A,NARVARTE ALAMOS,BENITO JUAREZ,SUR,19.381531,-99.143585,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
51,DARWIN,SHAKESPEARE,ANZURES,#N/A,POLANCO CASTILLO,MIGUEL HIDALGO,PONIENTE,19.429582,-99.177553,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
52,BALBOA,EJE 7 SUR MUNICIPIO LIBRE,PORTALES NORTE,#N/A,PORTALES,BENITO JUAREZ,SUR,19.368345,-99.144427,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
53,EJE 3 OTE EDUARDO MOLINA,CALLE 318 Y CALLE 316,NUEVA ATZACOALCO,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.504721,-99.086546,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
54,NORTE 66 A,ORIENTE 155,SALVADOR DIAZ MIRON,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.487593,-99.099692,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
55,AV CENTENARIO,ORIENTE 153,SALVADOR DIAZ MIRON,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.487352,-99.102227,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
56,AV HENRY FORD,CALZ DE GUADALUPE,GUADALUPE TEPEYAC,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.471477,-99.122196,EDUCACION,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
57,MOCTEZUMA,EJE 1 OTE FFCC HIDALGO,ARAGON LA VILLA,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.477943,-99.109968,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
58,ORIENTE 157,NORTE 72,SALVADOR DIAZ MIRON,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.488322,-99.097606,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
59,EJE 10 SUR RIO DE LA MAGDALENA,DONATO GUERRA Y AV REVOLUCION,BARRIO LORETO,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.338366,-99.194537,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
60,CALZ DE LAS AGUILAS,CAMINO VIEJO A MIXCOAC,VILLA VERDUN,#N/A,ALPES,ALVARO OBREGON,PONIENTE,19.33949,-99.264012,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
61,JUVENTINO ROSAS,AV INSURGENTES SUR,GUADALUPE INN,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.355981,-99.184849,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
62,EJE 10 SUR AV SAN JERONIMO,BLVD ADOLFO LOPEZ MATEOS,JARDINES DEL PEDREGAL,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.331069,-99.210246,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
63,PASEO DEL PEDREGAL,CASCADA,JARDINES DEL PEDREGAL,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.326251,-99.198678,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
64,AV INSURGENTES SUR,ERNESTO ELORDUY,FLORIDA,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.35744,-99.184096,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
65,AV PASEO DEL PEDREGAL,LLUVIA,JARDINES DEL PEDREGAL,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.314799,-99.202386,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
66,LOPEZ,ARTICULO 123,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.432138,-99.142134,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
67,REVILLAGIGEDO,VICTORIA Y ARTICULO 123,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.431952,-99.146324,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
68,PLAZA DE SAN JUAN,AYUNTAMIENTO,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.430521,-99.14365,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
69,AV REVOLUCION,AV JALISCO,SAN MIGUEL CHAPULTEPEC,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.407188,-99.184447,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
70,GRAL JUAN CANO,ALUMNOS,SAN MIGUEL CHAPULTEPEC,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.415643,-99.183823,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
71,CALZ GRAL PEDRO ANAYA,20 DE AGOSTO,SAN DIEGO CHURUBUSCO,#N/A,COYOACAN,COYOACAN,SUR,19.354627,-99.149437,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
72,CAMINO A NATIVITAS,MADRE SELVA,BARRIO XALTOCAN,#N/A,TEPEPAN,XOCHIMILCO,ORIENTE,19.2513,-99.099356,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
73,MIGUEL HIDALGO,ALBERTO HERRERA,ARAGON LA VILLA,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.481497,-99.116552,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
74,ING BASILIO ROMO ANGUIANO,ING CARLOS DAZA,GUADALUPE INSURGENTES,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.47315,-99.132438,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
75,AV HENRY FORD,MARTHA,GUADALUPE TEPEYAC,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.469871,-99.118204,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
76,ING NORBERTO GAYOL,EXCELSIOR,GUADALUPE INSURGENTES,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.474682,-99.130871,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
77,AV ALFREDO ROBLES DOMINGUEZ,CARUSO,VALLEJO,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.469321,-99.129483,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
78,EJE CENTRAL LAZARO CARDENAS,OTHON DE MENDIZABAL Y PONIENTE 152,VALLEJO UNIDAD LA PATERA,#N/A,TICOMAN,GUSTAVO A. MADERO,NORTE,19.504304,-99.150997,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
79,AV 521,3RA CDA AV 515,U H SAN JUAN DE ARAGON 1ra SECC,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.457976,-99.091869,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
80,AV 499,AV 416 Y AV FRANCISCO MORAZAN,UH SAN JUAN DE ARAGON VII SECC,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.47322,-99.070553,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
81,CAPULTITLAN,TECPAN DE GALEANA,SAN FELIPE DE JESUS,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.494814,-99.074156,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
82,PUERTO TAMPICO,AV JOSE LORETO FABELA,AMP CASAS ALEMAN,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.475813,-99.078869,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
83,VOLCAN ACATENANGO,AV FRANCISCO MORAZAN,AMPLIACION PROVIDENCIA,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.476881,-99.072353,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
84,PLAYA,NAVE,U H PATERA VALLEJO,#N/A,TICOMAN,GUSTAVO A. MADERO,NORTE,19.503872,-99.155919,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
85,JAIME NUNO,AV TECNOLOGICO,ZONA ESCOLAR,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.542676,-99.147149,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
86,CALZ DE GUADALUPE,AV RIO CONSULADO,VALLE GOMEZ,#N/A,TLATELOLCO,CUAUHTEMOC,CENTRO,19.46093,-99.126532,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
87,CALLE 47,AV FCO MORAZAN,IGNACIO ZARAGOZA,#N/A,ZARAGOZA,VENUSTIANO CARRANZA,NORTE,19.411435,-99.088412,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
88,AV JOSE LORETO FABELA,CAMINO A SAN JUAN DE ARAGON,AMPLIACION CASAS ALEMAN,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.473546,-99.079077,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
89,ITURBIDE,CDA FRANCISCO MORENO,GUSTAVO A MADERO,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.483496,-99.112192,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
90,IZTACCIHUATL,ITZCOATL,SANTA ISABEL TOLA,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.495577,-99.115095,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
91,CALLE 28 A,AV 3 A,SANTA ROSA,#N/A,TICOMAN,GUSTAVO A. MADERO,NORTE,19.523919,-99.169834,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
92,VOLCAN HUITZUCO,BARAJAS,UH LA PRADERA,#N/A,PRADERA,GUSTAVO A. MADERO,NORTE,19.471329,-99.063398,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
93,BALDERAS,AYUNTAMIENTO,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.431178,-99.147999,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
