ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
MT14539,0,EJE CENTRAL,DIANA,NUEVA INDUSTRIAL VALLEJO,#N/A,TICOMAN,GUSTAVO A. MADERO,NORTE,19.500967,-99.14862,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14545,0,AHUEHUETES,ENTRE SUACES Y JACARANDAS,PASTEROS,#N/A,HORMIGA,AZCAPOTZALCO,PONIENTE,19.495185,-99.196144,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14546,0,AV. REFINERIA AZCAPOTZALCO,TEPANTONGO,SAN ANDRES,#N/A,HORMIGA,AZCAPOTZALCO,PONIENTE,19.490878,-99.186001,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14549,0,PONIENTE 134,ENTRE NORTE 23-A Y EJE CENTRAL LAZARO CARDENAS,NUEVA VALLEJO,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.490758,-99.147635,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14550,0,PONIENTE 134,ENTRE NORTE 23-A Y EJE CENTRAL LAZARO. CARDENAS,LINDAVISTA VALLEJO III SECCION,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.491165,-99.148346,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14551,0,COLECTOR 13,ENTRE PAYTA Y AV. INSTITUTO POLIETCNICO NACIONAL,LINDAVISTA,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.487791,-99.134666,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14552,0,COLECTOR 13,PAYTA,LINDAVISTA,#N/A,LINDAVISTA,GUSTAVO A. MADERO,NORTE,19.488115,-99.134758,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14553,0,AV. INSURGENTES NORTE,AV. RICARTE,TEPEYAC INSURGENTES,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.483429,-99.125842,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14555,0,AV RICARTE,ENTRE CALZ. DE LOS MISTERIOS Y CALZ. DE GUADALUPE,TEPEYAC INSURGENTES,#N/A,TEPEYAC,GUSTAVO A. MADERO,NORTE,19.481704,-99.118883,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14556,0,F.C. MEXICANO,CALZ. SAN JUAN DE ARAGON,VILLA GUSTAVO A MADERO,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.482445,-99.10688,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
