ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN,PROYECTO_TECN,LÍNEA,ESTACIÓN
MC17117,0,,,VISTA ALEGRE,,ASTURIAS,CUAUHTÉMOC,CENTRO,19.4090613,-99.1348,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,17/01/2023,,,TOTEM_METRO,9,CHABACANO
MC17246,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.46189,-99.060605,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,18/01/2023,,,TOTEM_METRO,B,VILLA DE ARAGÓN
MC17153,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.450708,-99.079974,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,18/01/2023,,,TOTEM_METRO,B,DEPORTIVO OCEANÍA
MC17170,0,,,PENSADOR MEXICANO,,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.446049,-99.086583,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,18/01/2023,,,TOTEM_METRO,B,OCEANÍA
MC17215,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.458441,-99.068681,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,18/01/2023,,,TOTEM_METRO,B,BOSQUE DE ARAGÓN
MC17256,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.461491,-99.062176,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,19/01/2023,,,TOTEM_METRO,B,VILLA DE ARAGÓN
MC17238,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.457788,-99.069883,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,19/01/2023,,,TOTEM_METRO,B,BOSQUE DE ARAGÓN
MC17174,0,,,AQUILES SERDAN,,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.44544,-99.087766,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,19/01/2023,,,TOTEM_METRO,B,OCEANÍA
MC17013,0,,,SAN JUAN DE ARAGON III SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.451347,-99.078636,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,19/01/2023,,,TOTEM_METRO,B,DEPORTIVO OCEANIA
MC17128,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.485164,-99.049342,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,20/01/2023,,,TOTEM_METRO,B,IMPULSORA
